"","plot","BA.C","BA.S","stems.C","stems.S","clumps","clumps.ha","bap.S","bap.C","bah.S","bah.C","sph.S","sph.C"
"1","1.1.1",0,0,0,0,3,66.6666,0,0,0,0,0,0
"2","1.1.2",0,0,0,0,29,644.4438,0,0,0,0,0,0
"3","1.1.3",0,0,0,0,45,999.999,0,0,0,0,0,0
"4","1.1.4",0,0,0,0,41,911.1102,0,0,0,0,0,0
"5","1.2.2",0,0,0,0,10,222.222,0,0,0,0,0,0
"6","1.2.3",0,0,0,0,19,422.2218,0,0,0,0,0,0
"7","1.2.5",21.0172548525157,0,49,0,2,44.4444,0,42.0345097050314,0,934.09928156715,0,2177.7756
"8","1.2.6",0,0,0,0,14,311.1108,0,0,0,0,0,0
"9","1.3.1",34.2826298322986,0,37,0,5,111.111,0,171.413149161493,0,3809.17728329653,0,4111.107
"10","1.3.2",28.4235595333537,0,19,0,5,111.111,0,142.117797666768,0,3158.17012331046,0,2111.109
"11","1.3.3",32.633293689164,0,39,0,5,111.111,0,163.16646844582,0,3625.9178950967,0,4333.329
"12","1.3.4",88.0902580066578,0,49,0,14,311.1108,0,1233.26361209321,0,27405.8306406577,0,15244.4292
"13","1.3.5",44.6891554973148,0,22,0,6,133.3332,0,268.134932983889,0,5958.54810775457,0,2933.3304
"14","1.3.6",68.6752154074729,0,31,0,5,111.111,0,343.376077037364,0,7630.57185913972,0,3444.441
"15","1.4.1",36.8430278449743,0,12,0,7,155.5554,0,257.90119491482,0,5731.13193363612,0,1866.6648
"16","1.4.2",85.1607228571853,0,28,0,2,44.4444,0,170.321445714371,0,3784.91723095389,0,1244.4432
"17","1.4.3",87.9096164290764,0,25,0,8,177.7776,0,703.276931432611,0,15628.3606256818,0,4444.44
"18","1.4.4",167.556844179212,0,50,0,7,155.5554,0,1172.89790925448,0,26064.3719190349,0,7777.77
"19","1.4.5",274.119666988977,0,65,0,4,88.8888,0,1096.47866795591,0,24366.1682550498,0,5777.772
"20","1.4.6",117.825432472885,0,51,0,4,88.8888,0,471.301729891541,0,10473.3613019958,0,4533.3288
"21","2.1.1",0,401.801846412501,0,22,14,311.1108,5625.22584977501,0,125004.89387887,0,6844.4376,0
"22","2.1.2",0,1.86139364725195,0,9,8,177.7776,14.8911491780156,0,330.914095263699,0,1599.9984,0
"23","2.1.3",0,15.692255304681,0,11,5,111.111,78.4612765234051,0,1743.58217915841,0,1222.221,0
"24","2.1.4",0,0,0,0,13,288.8886,0,0,0,0,0,0
"25","2.1.5",0,102.949991258138,0,8,3,66.6666,308.849973774413,0,6863.32588720975,0,533.3328,0
"26","2.1.6",0,121.96448079399,0,10,5,111.111,609.822403969949,0,13551.595425501,0,1111.11,0
"27","2.2.1",0.353429173528852,0,3,0,22,488.8884,0,7.77544181763474,0,172.787423159843,0,1466.6652
"28","2.2.2",0,0,0,0,59,1311.1098,0,0,0,0,0,0
"29","2.2.3",0,0,0,0,3,66.6666,0,0,0,0,0,0
"30","2.2.4",0,0,0,0,36,799.9992,0,0,0,0,0,0
"31","2.2.5",18.8652638848067,0,16,0,2,44.4444,0,37.7305277696134,0,838.455334201903,0,711.1104
"32","2.2.6",2.12842902280708,0,7,0,5,111.111,0,10.6421451140354,0,236.491877153118,0,777.777
"33","2.3.1",52.9908140844258,0,38,0,4,88.8888,0,211.963256337703,0,4710.28987498771,0,3377.7744
"34","2.3.2",7.81471172580461,0,6,0,1,22.2222,0,7.81471172580461,0,173.660086913175,0,133.3332
"35","2.3.3",0,0,0,0,17,377.7774,0,0,0,0,0,0
"36","2.3.4",16.9567463477509,0,19,0,6,133.3332,0,101.740478086505,0,2260.89725213394,0,2533.3308
"37","2.3.5",46.0400403383584,0,18,0,10,222.222,0,460.400403383584,0,10231.1098440707,0,3999.996
"38","2.3.6",87.6661429984232,0,32,0,2,44.4444,0,175.332285996846,0,3896.26912587912,0,1422.2208
"39","2.4.1",37.7776516594173,0,14,0,9,199.9998,0,339.998864934755,0,7555.52277635312,0,2799.9972
"40","2.4.2",11.2940255896553,0,46,0,12,266.6664,0,135.528307075864,0,3011.73714550126,0,12266.6544
"41","2.4.3",17.6793126580766,0,54,0,6,133.3332,0,106.075875948459,0,2357.23933050185,0,7199.9928
"42","2.4.4",96.8631554918073,0,49,0,9,199.9998,0,871.768399426266,0,19372.6117257304,0,9799.9902
"43","2.4.5",51.8048628576957,0,34,0,2,44.4444,0,103.609725715391,0,2302.43604679257,0,1511.1096
"44","2.4.6",71.2984452732204,0,36,0,1,22.2222,0,71.2984452732204,0,1584.40831055056,0,799.9992
"45","3.1.1",0,75.4296396126909,0,6,3,66.6666,226.288918838073,0,5028.63761220342,0,399.9996,0
"46","3.1.2",0,18.174113501017,0,2,13,288.8886,236.26347551322,0,5250.29420554989,0,577.7772,0
"47","3.1.3",0,41.0134920926147,0,6,11,244.4442,451.148413018762,0,10025.5102637855,0,1466.6652,0
"48","3.1.4",0,43.5895980685584,0,3,8,177.7776,348.716784548467,0,7749.25412959294,0,533.3328,0
"49","3.1.5",0,683.319964100682,0,13,6,133.3332,4099.91978460409,0,91109.2374374291,0,1733.3316,0
"50","3.1.6",0,211.484163458031,0,19,6,133.3332,1268.90498074819,0,28197.8602631823,0,2533.3308,0
"51","3.2.1",0,0,0,0,2,44.4444,0,0,0,0,0,0
"52","3.2.2",1.83783170235003,0,3,0,1,22.2222,0,1.83783170235003,0,40.8406636559628,0,66.6666
"53","3.2.3",0,0,0,0,17,377.7774,0,0,0,0,0,0
"54","3.2.4",38.1075188880442,0,53,0,4,88.8888,0,152.430075552177,0,3387.33162493558,0,4711.1064
"55","3.2.5",29.9079620621748,615.7521601036,23,6,8,177.7776,4926.0172808288,239.263696497399,109466.941218034,5316.96571630449,1066.6656,4088.8848
"56","3.2.6",136.250873386189,0,50,0,12,266.6664,0,1635.01048063427,0,36333.5299027509,0,13333.32
"57","3.3.2",89.888819800838,0,64,0,3,66.6666,0,269.666459402514,0,5992.58199413454,0,4266.6624
"58","3.3.3",100.421009171998,0,55,0,1,22.2222,0,100.421009171998,0,2231.57575002197,0,1222.221
"59","3.3.4",37.9425852737307,0,43,0,18,399.9996,0,682.966534927153,0,15177.0189324582,0,17199.9828
"60","3.3.5",122.152976353205,0,54,0,6,133.3332,0,732.917858119231,0,16287.0472266972,0,7199.9928
"61","3.3.6",94.4284211852752,0,26,0,5,111.111,0,472.142105926376,0,10492.0363063171,0,2888.886
"62","3.4.1",41.555416825359,0,36,0,4,88.8888,0,166.221667301436,0,3693.81113510597,0,3199.9968
"63","3.4.2",88.8756561700553,0,47,0,13,288.8886,0,1155.38353021072,0,25675.1638850486,0,13577.7642
"64","3.4.3",42.9298636113045,0,39,0,2,44.4444,0,85.8597272226091,0,1907.99203028626,0,1733.3316
"65","3.4.4",61.1275390572234,0,31,0,9,199.9998,0,550.147851515011,0,12225.4955859369,0,6199.9938
"66","3.4.5",261.443340631743,0,116,0,7,155.5554,0,1830.1033844222,0,40668.923429307,0,18044.4264
"67","3.4.6",96.6746599325919,0,78,0,2,44.4444,0,193.349319865184,0,4296.64725590809,0,3466.6632
"68","4.1.1",0,150.568681904925,0,5,11,244.4442,1656.25550095417,0,36805.6409933038,0,1222.221,0
"69","4.1.2",0,612.940434678637,0,27,6,133.3332,3677.64260807182,0,81725.3095650936,0,3599.9964,0
"70","4.1.3",0,46.0321863567244,0,12,20,444.444,920.643727134489,0,20458.729033128,0,5333.328,0
"71","4.1.4",0,54.1060794764502,0,1,4,88.8888,216.424317905801,0,4809.42447736629,0,88.8888,0
"72","4.1.5",0,259.142124012988,0,30,2,44.4444,518.284248025976,0,11517.4162164828,0,1333.332,0
"73","4.1.6",0,161.061601367915,0,15,7,155.5554,1127.4312095754,0,25054.0018254265,0,2333.331,0
"74","4.2.1",107.858729779372,0,65,0,22,488.8884,0,2372.89205514617,0,52730.8818278693,0,31777.746
"75","4.2.2",0,832.458098465412,0,9,2,44.4444,1664.91619693082,0,36998.1007114361,0,399.9996,0
"76","4.2.3",40.5815231027462,0,41,0,10,222.222,0,405.815231027462,0,9018.10722693846,0,9111.102
"77","4.2.4",209.567791939341,0,63,0,5,111.111,0,1047.83895969671,0,23285.2869301721,0,6999.993
"78","4.2.5",180.178192665009,370.794326921569,100,3,11,244.4442,4078.73759613726,1981.96011931509,90638.5226088815,44043.5141634439,733.3326,24444.42
"79","4.2.6",34.6439129874614,0,15,0,4,88.8888,0,138.575651949846,0,3079.45585275986,0,1333.332
"80","4.3.1",122.600653306342,0,77,0,8,177.7776,0,980.805226450733,0,21795.6499032335,0,13688.8752
"81","4.3.2",117.401317464651,0,46,0,3,66.6666,0,352.203952393952,0,7826.74667088887,0,3066.6636
"82","4.3.3",49.8099515226662,0,24,0,15,333.333,0,747.149272839992,0,16603.3005709049,0,7999.992
"83","4.3.4",120.73925965909,0,79,0,10,222.222,0,1207.3925965909,0,26830.9197599622,0,17555.538
"84","4.3.5",47.3202393446963,0,28,0,1,22.2222,0,47.3202393446963,0,1051.55982276571,0,622.2216
"85","4.3.6",60.6955700673548,0,22,0,13,288.8886,0,789.042410875612,0,17534.25826296,0,6355.5492
"86","4.4.1",116.86724671354,0,76,0,4,88.8888,0,467.468986854161,0,10388.1893196705,0,6755.5488
"87","4.4.2",41.7046424764045,0,19,0,2,44.4444,0,83.409284952809,0,1853.53781207831,0,844.4436
"88","4.4.3",0,0,0,0,19,422.2218,0,0,0,0,0,0
"89","4.4.4",37.5106162838621,0,16,0,10,222.222,0,375.106162838621,0,8335.68417183241,0,3555.552
"90","4.4.5",171.138259804304,0,48,0,3,66.6666,0,513.414779412912,0,11409.2059110696,0,3199.9968
"91","4.4.6",179.754077656774,0,65,0,3,66.6666,0,539.262232970322,0,11983.5931935131,0,4333.329
